Location,City,Date/Time,Parameter,Value,LAT,LON
NSIT Dwarka,Delhi,2017-06-22T20:30:00.000Z,o3,8,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:30:00.000Z,co,610,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:30:00.000Z,so2,12.9,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:30:00.000Z,no2,66.2,28.591,77.05
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T20:15:00.000Z,pm10,77.8,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T20:15:00.000Z,o3,14.87,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T20:15:00.000Z,co,390,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T20:15:00.000Z,so2,16.84,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T20:15:00.000Z,no2,14.8,22.627875,88.3804
NSIT Dwarka,Delhi,2017-06-22T20:15:00.000Z,pm25,832.7,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:15:00.000Z,o3,7.3,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:15:00.000Z,co,620,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:15:00.000Z,no2,84,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:15:00.000Z,so2,13.6,28.591,77.05
IIT,Chennai,2017-06-22T20:00:00.000Z,pm25,20.91,12.99251389,80.23744722
IIT,Chennai,2017-06-22T20:00:00.000Z,o3,13.01,12.99251389,80.23744722
IIT,Chennai,2017-06-22T20:00:00.000Z,co,420,12.99251389,80.23744722
IIT,Chennai,2017-06-22T20:00:00.000Z,so2,1.85,12.99251389,80.23744722
IIT,Chennai,2017-06-22T20:00:00.000Z,no2,11.44,12.99251389,80.23744722
NSIT Dwarka,Delhi,2017-06-22T20:00:00.000Z,pm25,805.1,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:00:00.000Z,o3,5.8,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:00:00.000Z,co,610,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:00:00.000Z,so2,13.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:00:00.000Z,no2,39.6,28.591,77.05
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:45:00.000Z,pm10,81.4,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:45:00.000Z,o3,12.65,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:45:00.000Z,co,690,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:45:00.000Z,so2,23.41,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:45:00.000Z,no2,24.1,22.627875,88.3804
IIT,Chennai,2017-06-22T19:45:00.000Z,pm25,20.14,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:45:00.000Z,o3,13.09,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:45:00.000Z,co,320,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:45:00.000Z,so2,1.8,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:45:00.000Z,no2,10.56,12.99251389,80.23744722
NSIT Dwarka,Delhi,2017-06-22T19:45:00.000Z,pm25,686.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:45:00.000Z,o3,4.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:45:00.000Z,co,580,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:45:00.000Z,so2,12.7,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:45:00.000Z,no2,70.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:30:00.000Z,pm25,686.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:30:00.000Z,o3,2.8,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:30:00.000Z,co,660,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:30:00.000Z,no2,124.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:30:00.000Z,so2,12.3,28.591,77.05
IIT,Chennai,2017-06-22T19:30:00.000Z,pm25,20.14,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:30:00.000Z,o3,13.01,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:30:00.000Z,co,230,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:30:00.000Z,so2,1.04,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:30:00.000Z,no2,11.87,12.99251389,80.23744722
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:15:00.000Z,pm10,99.5,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:15:00.000Z,o3,10.16,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:15:00.000Z,co,600,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:15:00.000Z,so2,15.95,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T19:15:00.000Z,no2,41.5,22.627875,88.3804
NSIT Dwarka,Delhi,2017-06-22T19:15:00.000Z,pm25,686.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:15:00.000Z,o3,2.9,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:15:00.000Z,so2,12.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:15:00.000Z,co,690,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:15:00.000Z,no2,129.8,28.591,77.05
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T19:15:00.000Z,pm25,20.42,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T19:15:00.000Z,pm10,52.63,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T19:15:00.000Z,o3,19.99,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T19:15:00.000Z,co,320,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T19:15:00.000Z,so2,9.32,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T19:15:00.000Z,no2,12.9,19.041847,72.865513
IIT,Chennai,2017-06-22T19:00:00.000Z,pm25,24.63,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:00:00.000Z,o3,13.01,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:00:00.000Z,so2,2.7,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:00:00.000Z,co,350,12.99251389,80.23744722
IIT,Chennai,2017-06-22T19:00:00.000Z,no2,14.36,12.99251389,80.23744722
NSIT Dwarka,Delhi,2017-06-22T19:00:00.000Z,o3,3.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:00:00.000Z,pm25,787.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:00:00.000Z,so2,12,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:00:00.000Z,co,710,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T19:00:00.000Z,no2,86.7,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T18:45:00.000Z,pm25,0,28.591,77.05
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:45:00.000Z,pm25,20.62,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:45:00.000Z,o3,16.91,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:45:00.000Z,pm10,56.18,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:45:00.000Z,co,390,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:45:00.000Z,so2,9.88,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T18:45:00.000Z,no2,15.34,19.041847,72.865513
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:30:00.000Z,pm10,116.5,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:30:00.000Z,o3,0.73,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T18:30:00.000Z,co,1090,22.627875,88.3804
