,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
51,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:00:00.000Z,2020-06-23T01:30:00+05:30,no2,4.6,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
52,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:00:00.000Z,2020-06-23T01:30:00+05:30,pm25,11.7,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
53,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:00:00.000Z,2020-06-23T01:30:00+05:30,co,280.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
54,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T19:30:00.000Z,2020-06-23T01:00:00+05:30,no2,4.8,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
55,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T19:30:00.000Z,2020-06-23T01:00:00+05:30,pm10,45.5,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
56,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T19:30:00.000Z,2020-06-23T01:00:00+05:30,o3,17.51,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
57,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T19:30:00.000Z,2020-06-23T01:00:00+05:30,pm25,11.7,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
58,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T19:30:00.000Z,2020-06-23T01:00:00+05:30,co,260.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
59,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T19:30:00.000Z,2020-06-23T01:00:00+05:30,so2,6.5,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
60,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T17:45:00.000Z,2020-06-22T23:15:00+05:30,co,280.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
