,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
36,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T21:15:00.000Z,2020-06-23T02:45:00+05:30,pm10,66.46,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
37,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T21:15:00.000Z,2020-06-23T02:45:00+05:30,no2,16.07,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
38,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T21:15:00.000Z,2020-06-23T02:45:00+05:30,co,620.0,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
39,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T21:15:00.000Z,2020-06-23T02:45:00+05:30,pm25,18.6,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
40,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T20:45:00.000Z,2020-06-23T02:15:00+05:30,co,700.0,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
41,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T20:45:00.000Z,2020-06-23T02:15:00+05:30,pm10,55.64,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
42,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T20:45:00.000Z,2020-06-23T02:15:00+05:30,no2,16.05,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
43,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T20:45:00.000Z,2020-06-23T02:15:00+05:30,pm25,25.89,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
44,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T20:45:00.000Z,2020-06-23T02:15:00+05:30,o3,30.72,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
45,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T20:30:00.000Z,2020-06-23T02:00:00+05:30,o3,28.49,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
