,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
27,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:30:00.000Z,2020-06-24T02:00:00+05:30,co,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
28,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:30:00.000Z,2020-06-24T02:00:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
29,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:30:00.000Z,2020-06-24T02:00:00+05:30,pm25,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
30,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T18:45:00.000Z,2020-06-24T00:15:00+05:30,o3,35.28,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
31,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T18:45:00.000Z,2020-06-24T00:15:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
32,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T18:45:00.000Z,2020-06-24T00:15:00+05:30,pm10,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
33,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T18:45:00.000Z,2020-06-24T00:15:00+05:30,pm25,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
34,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T18:45:00.000Z,2020-06-24T00:15:00+05:30,so2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
35,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T18:45:00.000Z,2020-06-24T00:15:00+05:30,co,540.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
36,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T17:00:00.000Z,2020-06-23T22:30:00+05:30,so2,2.84,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
37,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T17:00:00.000Z,2020-06-23T22:30:00+05:30,pm25,17.11,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
